Structured comment name	Value syntax	Example																										
cur_land_use	"[cities|farmstead|industrial areas|roads/railroads|rock|sand|gravel|mudflats|salt flats|badlands|permanent snow or ice|saline seeps|mines/quarries|oil waste areas|small grains|row crops|vegetable crops|horticultural plants (e.g. tulips)|marshlands (grass,sedges,rushes)|tundra (mosses,lichens)|rangeland|pastureland (grasslands used for livestock grazing)|hayland|meadows (grasses,alfalfa,fescue,bromegrass,timothy)|shrub land (e.g. mesquite,sage-brush,creosote bush,shrub oak,eucalyptus)|successional shrub land (tree saplings,hazels,sumacs,chokecherry,shrub dogwoods,blackberries)|shrub crops (blueberries,nursery ornamentals,filberts)|vine crops (grapes)|conifers (e.g. pine,spruce,fir,cypress)|hardwoods (e.g. oak,hickory,elm,aspen)|intermixed hardwood and conifers|tropical (e.g. mangrove,palms)|rainforest (evergreen forest receiving >406 cm annual rainfall)|swamp (permanent or semi-permanent water body dominated by woody plants)|crop trees (nuts,fruit,christmas trees,nursery trees)]"	conifers																										
cur_land_use	"[cities|farmstead|industrial areas|roads/railroads|rock|sand|gravel|mudflats|salt flats|badlands|permanent snow or ice|saline seeps|mines/quarries|oil waste areas|small grains|row crops|vegetable crops|horticultural plants (e.g. tulips)|marshlands (grass,sedges,rushes)|tundra (mosses,lichens)|rangeland|pastureland (grasslands used for livestock grazing)|hayland|meadows (grasses,alfalfa,fescue,bromegrass,timothy)|shrub land (e.g. mesquite,sage-brush,creosote bush,shrub oak,eucalyptus)|successional shrub land (tree saplings,hazels,sumacs,chokecherry,shrub dogwoods,blackberries)|shrub crops (blueberries,nursery ornamentals,filberts)|vine crops (grapes)|conifers (e.g. pine,spruce,fir,cypress)|hardwoods (e.g. oak,hickory,elm,aspen)|intermixed hardwood and conifers|tropical (e.g. mangrove,palms)|rainforest (evergreen forest receiving >406 cm annual rainfall)|swamp (permanent or semi-permanent water body dominated by woody plants)|crop trees (nuts,fruit,christmas trees,nursery trees)]"																											
cur_vegetation	{text}																											
cur_vegetation_meth	{PMID}|{DOI}|{URL}																											
cur_vegetation_meth	{PMID|DOI|URL}																											
date_extr_weath	{timestamp}	2018-05-11:T14:30Z																										
date_last_rain	{timestamp}	2018-05-11:T14:30Z																										
density	{float} {unit}	1000 kilogram per cubic meter																										
depos_env	[Continental - Alluvial|Continental - Aeolian|Continental - Fluvial|Continental - Lacustrine|Transitional - Deltaic|Transitional - Tidal|Transitional - Lagoonal|Transitional - Beach|Transitional - Lake|Marine - Shallow|Marine - Deep|Marine - Reef|Other - Evaporite|Other - Glacial|Other - Volcanic|other]	Continental - Alluvial																										
depos_env	[Continental - Alluvial|Continental - Aeolian|Continental - Fluvial|Continental - Lacustrine|Transitional - Deltaic|Transitional - Tidal|Transitional - Lagoonal|Transitional - Beach|Transitional - Lake|Marine - Shallow|Marine - Deep|Marine - Reef|Other - Evaporite|Other - Glacial|Other - Volcanic|other]	Marine - Reef																										
depth	{float} {unit}	10 meter																										
dermatology_disord	{text}																											
dew_point	{float} {unit}	22 degree Celsius																										
diet_last_six_month	{boolean};{text}	yes;vegetarian diet																										
dietary_claim_use	{text}|{termLabel} {[termID]}	No preservatives [FOODON:03510113]																										
diether_lipids	{text};{float} {unit}	0.2 nanogram per liter																										
diss_carb_dioxide	{float} {unit}	5 milligram per liter																										
diss_hydrogen	{float} {unit}	0.3 micromole per liter																										
diss_inorg_carb	{float} {unit}	2059 micromole per kilogram																										
diss_inorg_nitro	{float} {unit}	761 micromole per liter																										
diss_inorg_phosp	{float} {unit}	56.5 micromole per liter																										
diss_iron	{float} {unit}																											
diss_org_carb	{float} {unit}	197 micromole per liter																										
diss_org_nitro	{float} {unit}	0.05 micromole per liter																										
diss_oxygen	{float} {unit}	175 micromole per kilogram																										
diss_oxygen_fluid	{float} {unit}																											
dominant_hand	[left|right|ambidextrous]	right																										
door_comp_type	[metal covered|revolving|sliding|telescopic]	revolving																										
door_cond	[damaged|needs repair|new|rupture|visible wear]	new																										
door_direct	[inward|outward|sideways]	inward																										
door_loc	[north|south|east|west]	north																										
door_mat	[aluminum|cellular PVC|engineered plastic|fiberboard|fiberglass|metal|thermoplastic alloy|vinyl|wood|wood/plastic composite]	wood																										
door_move	[collapsible|folding|revolving|rolling shutter|sliding|swinging]	swinging																										
door_size	{float} {unit}	2.5 square meter																										
door_type	[composite|metal|wooden]	wooden																										
door_type_metal	[collapsible|corrugated steel|hollow|rolling shutters|steel plate]	hollow																										
door_type_wood	"[bettened and ledged|battened|ledged and braced|battened|ledged and framed|battened|ledged, braced and frame|framed and paneled|glashed or sash|flush|louvered|wire gauged]"	battened																										
door_water_mold	[presence of mold visible|no presence of mold visible]	presence of mold visible																										
douche	{timestamp}	5/11/18																										
down_par	{float} {unit}	28.71 microEinstein per square meter per second																										
drainage_class	[very poorly|poorly|somewhat poorly|moderately well|well|excessively drained]	well																										
drainage_class	[very poorly|poorly|somewhat poorly|moderately well|well|excessively drained]																											
drawings	[operation|as built|construction|bid|design|building navigation map|diagram|sketch]	sketch																										
drug_usage	{text};{integer}/[year|month|week|day|hour]	Lipitor;2/day																										
efficiency_percent	{float} {unit}																											
elev	{float} {unit}	100 meter																										
elevator	{integer}	2																										
emulsions	{text};{float} {unit}																											
enrichment_protocol	{PMID}|{DOI}|{URL}|{text}	BAM Chapter 4: Enumeration of Escherichia coli and the Coliform Bacteria																										
env_broad_scale	{termLabel} {[termID]}	forest biome [ENVO:01000174]																										
env_broad_scale	{termLabel} {[termID]}	oceanic epipelagic zone biome [ENVO:01000033] for annotating a water sample from the photic zone in middle of the Atlantic Ocean																										
env_local_scale	{termLabel} {[termID]}	litter layer [ENVO:01000338]																										
env_local_scale	{termLabel} {[termID]}	litter layer [ENVO:01000338]; Annotating a pooled sample taken from various vegetation layers in a forest consider: canopy [ENVO:00000047]|herb and fern layer [ENVO:01000337]|litter layer [ENVO:01000338]|understory [01000335]|shrub layer [ENVO:01000336].																										
env_medium	{termLabel} {[termID]}	intestine environment [ENVO:2100002]																										
env_medium	{termLabel} {[termID]}	soil [ENVO:00001998]																										
env_medium	{termLabel} {[termID]}	"soil [ENVO:00001998]; Annotating a fish swimming in the upper 100 m of the Atlantic Ocean, consider: ocean water [ENVO:00002151]. Example: Annotating a duck on a pond consider: pond water [ENVO:00002228]|air [ENVO_00002005]"																										
env_monitoring_zone	{termLabel} {[termID]}	Zone 1																										
escalator	{integer}	4																										
ethnicity	{text}	native american																										
ethylbenzene	{float} {unit}																											
exp_duct	{float} {unit}																											
exp_pipe	{integer}																											
experimental_factor	{termLabel} {[termID]}|{text}	time series design [EFO:0001779]																										
experimental_factor	{termLabel} {[termID]}|{text}	time series design [EFO:EFO_0001779]																										
ext_door	{integer}																											
ext_wall_orient	[north|south|east|west|northeast|southeast|southwest|northwest]	northwest																										
ext_window_orient	[north|south|east|west|northeast|southeast|southwest|northwest]	southwest																										
extr_weather_event	[drought|dust storm|extreme cold|extreme heat|flood|frost|hail|high precipitationhigh winds]	hail																										
extreme_event	{timestamp}																											
facility_type	[ambient storage|caterer-catering point|distribution|frozen storage|importer-broker|interstate conveyance|labeler-relabeler|manufacturing-processing|packaging|refrigerated storage|storage]	manufacturing-processing																										
fao_class	[Acrisols|Andosols|Arenosols|Cambisols|Chernozems|Ferralsols|Fluvisols|Gleysols|Greyzems|Gypsisols|Histosols|Kastanozems|Lithosols|Luvisols|Nitosols|Phaeozems|Planosols|Podzols|Podzoluvisols|Rankers|Regosols|Rendzinas|Solonchaks|Solonetz|Vertisols|Yermosols]	Luvisols																										
fao_class	{term}																											
farm_equip	{termLabel} {[termID]}	combine harvester [AGRO:00000473]																										
farm_equip_san	{text} {float} {unit}	"hot water pressure wash, hypochlorite solution, 50 parts per million"																										
farm_equip_san																												
farm_equip_san_freq	{text}	Biweekly																										
farm_equip_shared	{termLabel} {[termID]}	combine harvester [AGRO:00000473]																										
farm_equip_shared																												
farm_water_source	[freshwater|brackish|saline|natural|manmade|estuary|lake|pond|canal|stream|river|melt pond|well|ditch|reservior|collected rainwater|municipal|storage tank]	water well (ENVO:01000002)																										
ferm_chem_add	{float} {unit}	salt																										
ferm_chem_add_perc	{float} percentage	1%																										
ferm_headspace_oxy	{float} percentage	5%																										
ferm_medium	{text}	molasses																										
ferm_pH	{float}	4.5																										
ferm_rel_humidity	{float} {unit}	95% RH																										
ferm_temp	{float} {unit}	22 degrees Celsius																										
ferm_time	{duration}	P10D																										
ferm_vessel	{text}	steel drum																										
fertilizer_admin	{termLabel} {[termID]}	fish emulsion [AGRO:00000082]																										
fertilizer_date	{timestamp}	2018-05-11T10:00:00+01:00																										
fertilizer_regm	{text};{float} {unit};{Rn/start_time/end_time/duration}	urea;0.6 milligram per liter;R2/2018-05-11:T14:30/2018-05-11T19:30/P1H30M																										
field	{text}																											
filter_type	[particulate air filter|chemical air filter|low-MERV pleated media|HEPA|electrostatic|gas-phase or ultraviolet air treatments]	HEPA																										
fire	{timestamp}																											
fireplace_type	[gas burning|wood burning]	wood burning																										
flooding	{timestamp}																											
floor_age	{float} {unit}																											
floor_area	{float} {unit}																											
floor_cond	[new|visible wear|needs repair|damaged|rupture]	new																										
floor_count	{integer}																											
floor_finish_mat	[tile|wood strip or parquet|carpet|rug|laminate wood|lineoleum|vinyl composition tile|sheet vinyl|stone|bamboo|cork|terrazo|concrete|none;specify unfinished|sealed|clear finish|paint]	carpet																										
floor_struc	[balcony|floating floor|glass floor|raised floor|sprung floor|wood-framed|concrete]	concrete																										
floor_thermal_mass	{float} {unit}																											
floor_water_mold	[mold odor|wet floor|water stains|wall discoloration|floor discoloration|ceiling discoloration|peeling paint or wallpaper|bulging walls|condensation]	ceiling discoloration																										
fluor	{float} {unit}	2.5 volts																										
foetal_health_stat	{text}																											
food_additive	{text}|{termLabel} {[termID]}	xanthan gum [FOODON_03413321]																										
food_additive	{text}|{termLabel} {[termID]}	xanthan gum [FOODON:03413321]																										
food_allergen_label	{text}|{termLabel} {[termID]}	food allergen labelling about crustaceans and products thereof [FOODON:03510215]																										
food_clean_proc	[drum and drain|manual spinner|rinsed with sanitizer solution|rinsed with water|scrubbed with brush|scrubbed with hand|soaking]	rinsed with water|scrubbed with brush																										
food_contact_surf	{text}|{termLabel} {[termID]}	cellulose acetate [FOODON:03500034]																										
food_contain_wrap	{text}|{termLabel} {[termID]}	Plastic shrink-pack [FOODON:03490137]																										
food_cooking_proc	{text}|{termLabel} {[termID]}	food blanching [FOODON:03470175]																										
food_dis_point	"{term}: {term}, {text}"	"USA: Delmarva Peninsula or USA: Georgia, Atlanta [GAZ:00004445]"																										
food_dis_point	"{term}: {term}, {text}"	"USA: Delmarva, Peninsula"																										
food_dis_point	"{term}: {term}, {text}"	"USA:Delmarva, Peninsula"																										
food_dis_point_city	{text}|{termLabel} {[termID]}	Atlanta[GAZ:00004445]																										
food_harvest_proc	{text}	hand-picked																										
food_harvest_proc																												
food_ingredient	{text}|{termLabel} {[termID]}	bean (whole) [FOODON:00002753]																										
food_name_status	{termLabel} {[termID]}	protected geographic indication [FOODON:03530256]																										
food_origin	"{term}: {term}, {text}"	"USA: Delmarva, Peninsula"																										
food_origin	"{term}:{term}, {text}"	"USA:Delmarva, Peninsula"																										
food_pack_capacity	{float} {unit}	454 grams																										
food_pack_integrity	{text}|{termLabel} {[termID]}	food packing medium compromised [FOODON:00002517]																										
food_pack_medium	{text}|{termLabel} {[termID]}	packed in fruit juice [FOODON:03480039]																										
food_pack_medium	{text}|{termLabel} {[termID]}	vacuum-packed [FOODON:03480027]																										
food_pack_medium	{text}|{termLabel} {[termID]}	vacuum-packed[FOODON:03480027]																										
food_preserv_proc	{text}|{termLabel} {[termID]}	food slow freezing [FOODON:03470128]																										
food_prior_contact	{text}|{termLabel} {[termID]}	processed in stainless steel container [FOODON:03530081]																										
food_prod	{termLabel} {[termID]}	organic plant cultivation [FOODON:03530253]																										
food_prod_char	{text}	wild caught																										
food_prod_synonym	{text}	pinot gris																										
food_product_qual	{termLabel} {[termID]}	raw [FOODON:03311126]																										
Food_Product_type	{text}	delicatessen salad; FOODON:03316276																										
food_product_type	{text}|{termLabel} {[termID]}	"shrimp (peeled, deep-frozen) [FOODON:03317171]"																										
food_quality_date	[best by|best if used by|freeze by||use by]; date	best by 2020-05-24																										
food_source	{termLabel} {[termID]}	giant tiger prawn [FOODON:03412612]																										
Food_source	{text}	red swamp crayfish; FOODON:03412231																										
food_source_age	{float} {unit}	P6M																										
food_trace_list	[cheeses-other than hard cheeses|cucumbers|crustaceans|finfish-including smoked finfish|fruits and vegetables-fresh cut|herbs-fresh|leafy greens-including fresh cut leafy greens|melons|mollusks-bivalves|nut butter|peppers|ready to eat deli salads|sprouts|tomatoes|tropical tree fruits|shell eggs]	tropical tree fruits																										
food_trav_mode	{termLabel} {[termID]}	train travel [GENEPIO:0001060]																										
food_trav_vehic	{text}|{termLabel} {[termID]}	aircraft [ENVO:01001488]|car [ENVO:01000605]																										
food_treat_proc	{text}|{termLabel} {[termID]}	gluten removal process [FOODON:03460750]																										
freq_clean	[ Daily| Weekly| Monthly| Quarterly | Annually| other]																											
freq_clean	{text}	Daily																										
freq_cook	{integer}																											
fungicide_regm	{text};{float} {unit};{period};{interval};{period}																											
fungicide_regm	{text};{float} {unit};{Rn/start_time/end_time/duration}	bifonazole;1 mole per liter;R2/2018-05-11T14:30/2018-05-11T19:30/P1H30M																										
furniture	[cabinet|chair|desks]	chair																										
