sc,p,l,su,u,count
https://w3id.org/nmdc/Biosample,https://w3id.org/mixs/0000102,tot_nitro,mg/L|ug/L|umol/L,%,103
https://w3id.org/nmdc/Biosample,https://w3id.org/mixs/0000430,potassium,[ppm]|mg/L,mg/kg,103
https://w3id.org/nmdc/Biosample,https://w3id.org/mixs/0000431,magnesium,[ppm]|mg/L|mol/L|umol/kg,mg/kg,103
https://w3id.org/nmdc/Biosample,https://w3id.org/mixs/0000432,calcium,[ppm]|mg/L|umol/L,mg/kg,103
https://w3id.org/nmdc/Biosample,https://w3id.org/nmdc/ammonium_nitrogen,ammonium_nitrogen,mg/kg,mg/kg,103
https://w3id.org/nmdc/Biosample,https://w3id.org/nmdc/lbc_thirty,lbc_thirty,,[ppm],103
https://w3id.org/nmdc/Biosample,https://w3id.org/nmdc/lbceq,lbceq,,[ppm],103
https://w3id.org/nmdc/Biosample,https://w3id.org/nmdc/manganese,manganese,[ppm]|mg/kg,mg/kg,103
https://w3id.org/nmdc/Biosample,https://w3id.org/nmdc/nitrate_nitrogen,nitrate_nitrogen,mg/kg,mg/kg,103
https://w3id.org/nmdc/Biosample,https://w3id.org/nmdc/nitrite_nitrogen,nitrite_nitrogen,mg/kg,mg/kg,103
https://w3id.org/nmdc/Biosample,https://w3id.org/nmdc/zinc,zinc,[ppm]|mg/kg,mg/kg,103
https://w3id.org/nmdc/Biosample,https://w3id.org/mixs/0000255,host_age,a|d|h,a,28
https://w3id.org/nmdc/Biosample,https://w3id.org/mixs/0000117,tot_phosp,[ppm]|mg/L|umol/L,mg/L,45
https://w3id.org/nmdc/Biosample,https://w3id.org/mixs/0000427,ammonium,[ppm]|mg/L|umol/L,mg/L,45
https://w3id.org/nmdc/Biosample,https://w3id.org/mixs/0000433,diss_org_carb,mg/L|umol/L,mg/L,25
https://w3id.org/nmdc/Biosample,https://w3id.org/mixs/0000434,diss_inorg_carb,[ppm]|mg/L|ug/L,mg/L,25
https://w3id.org/nmdc/Biosample,https://w3id.org/mixs/0000533,tot_org_carb,,mg/L,32
https://w3id.org/nmdc/Biosample,https://w3id.org/mixs/0000698,diss_inorg_nitro,ug/L|umol/L,mg/L,45
https://w3id.org/nmdc/Biosample,https://w3id.org/mixs/0000738,soluble_react_phosp,[ppm]|mg/L|umol/L,mg/L,45
https://w3id.org/nmdc/Biosample,https://w3id.org/mixs/0000001,samp_size,L|g|mL|mg,g,36
https://w3id.org/nmdc/Biosample,https://w3id.org/mixs/0000183,salinity,%,mg/L,17
https://w3id.org/nmdc/Biosample,https://w3id.org/mixs/0000183,salinity,%,%,2
https://w3id.org/nmdc/Biosample,https://w3id.org/mixs/0000139,diss_iron,mg/L,mg/L,6
https://w3id.org/nmdc/Biosample,https://w3id.org/mixs/0000423,sulfate,[ppm]|mg/L|umol/L,mg/L,6
https://w3id.org/nmdc/Biosample,https://w3id.org/mixs/0000428,sodium,[ppm]|mg/L,mg/L,6
https://w3id.org/nmdc/Biosample,https://w3id.org/mixs/0000429,chloride,[ppm]|mg/L,mg/L,6
https://w3id.org/nmdc/Biosample,https://w3id.org/mixs/0000430,potassium,[ppm]|mg/L,mg/L,6
https://w3id.org/nmdc/Biosample,https://w3id.org/mixs/0000431,magnesium,[ppm]|mg/L|mol/L|umol/kg,mg/L,6
https://w3id.org/nmdc/Biosample,https://w3id.org/mixs/0000432,calcium,[ppm]|mg/L|umol/L,mg/L,6
https://w3id.org/nmdc/Biosample,https://w3id.org/nmdc/manganese,manganese,[ppm]|mg/kg,mg/L,6
https://w3id.org/nmdc/Biosample,https://w3id.org/nmdc/subsurface_depth,subsurface_depth,,m,1
https://w3id.org/nmdc/Biosample,https://w3id.org/mixs/0000001,samp_size,L|g|mL|mg,mL,629
