NMDC schema class	NMDC schema slot	NCBI postgres field name	static_value
Biosample	number_resident		
Biosample	occup_density_samp		
Biosample	occup_document		
Biosample	occup_samp	occup_samp	
Biosample	org_carb	org_carb	
Biosample	org_count_qpcr_info		
Biosample	org_matter	org_matter	
Biosample	org_nitro	org_nitro	
Biosample	org_nitro_method		
Biosample	org_particles	org_particles	
Biosample	organism_count	organism_count	
Biosample	other_treatment		
Biosample	owc_tvdss		
Biosample	oxy_stat_samp	oxy_stat_samp	
Biosample	oxygen	oxygen	
Biosample	part_of		
Biosample	part_org_carb	part_org_carb	
Biosample	part_org_nitro	part_org_nitro	
Biosample	particle_class	particle_class	
Biosample	pcr_cond		
Biosample	pcr_primers		
Biosample	permeability	permeability	
Biosample	perturbation	perturbation	
Biosample	pesticide_regm	pesticide_regm	
Biosample	petroleum_hydrocarb	petroleum_hydrocarb	
Biosample	ph	ph	
Biosample	ph_meth	ph_meth	
Biosample	ph_regm	ph_regm	
Biosample	phaeopigments	phaeopigments	
Biosample	phosphate	phosphate	
Biosample	phosplipid_fatt_acid	phosplipid_fatt_acid	
Biosample	photon_flux	photon_flux	
Biosample	plant_growth_med	plant_growth_med	
Biosample	plant_product	plant_product	
Biosample	plant_sex	plant_sex	
Biosample	plant_struc	plant_struc	
Biosample	pollutants	pollutants	
Biosample	pool_dna_extracts	pool_dna_extracts	
Biosample	porosity	porosity	
Biosample	potassium	potassium	
Biosample	pour_point		
Biosample	pre_treatment	pre_treatment	
Biosample	pres_animal_insect	pres_animal_insect	
Biosample	pressure	pressure	
Biosample	prev_land_use_meth		
Biosample	previous_land_use	previous_land_use	
Biosample	primary_prod	primary_prod	
Biosample	primary_treatment	primary_treatment	
Biosample	prod_rate		
Biosample	prod_start_date		
Biosample	profile_position	profile_position	
Biosample	project_id		
Biosample	proport_woa_temperature		
Biosample	proposal_dna		
Biosample	proposal_rna		
Biosample	quad_pos		
Biosample	radiation_regm	radiation_regm	
Biosample	rainfall_regm	rainfall_regm	
Biosample	reactor_type	reactor_type	
Biosample	redox_potential	redox_potential	
Biosample	rel_air_humidity	rel_air_humidity	
Biosample	rel_humidity_out		
Biosample	rel_samp_loc		
Biosample	replicate_number		
Biosample	reservoir		
Biosample	resins_pc		
Biosample	rna_absorb1		
Biosample	rna_absorb2		
Biosample	rna_collect_site		
Biosample	rna_concentration		
Biosample	rna_cont_type		
Biosample	rna_cont_well		
Biosample	rna_container_id		
Biosample	rna_isolate_meth		
Biosample	rna_organisms		
Biosample	rna_project_contact		
Biosample	rna_samp_id		
Biosample	rna_sample_format		
Biosample	rna_sample_name		
Biosample	rna_seq_project		
Biosample	rna_seq_project_name		
Biosample	rna_seq_project_pi		
Biosample	rna_volume		
Biosample	room_air_exch_rate		
Biosample	room_architec_elem		
Biosample	room_condt		
Biosample	room_connected		
Biosample	room_count		
Biosample	room_dim		
Biosample	room_door_dist		
Biosample	room_door_share		
Biosample	room_hallway		
Biosample	room_loc		
Biosample	room_moist_dam_hist		
Biosample	room_net_area		
Biosample	room_occup		
Biosample	room_samp_pos		
Biosample	room_type	room_type	
Biosample	room_vol		
Biosample	room_wall_share		
Biosample	room_window_count		
Biosample	root_cond	root_cond	
Biosample	root_med_carbon	root_med_carbon	
Biosample	root_med_macronutr	root_med_macronutr	
Biosample	root_med_micronutr	root_med_micronutr	
Biosample	root_med_ph	root_med_ph	
Biosample	root_med_regl	root_med_regl	
Biosample	root_med_solid	root_med_solid	
Biosample	root_med_suppl	root_med_suppl	
Biosample	salinity	salinity	
Biosample	salinity_category		
