name	type	is_a	abstract	from_schema
minimum_value	SlotDefinition			https://w3id.org/linkml/meta
minus	SlotDefinition			https://w3id.org/linkml/meta
mixin	SlotDefinition			https://w3id.org/linkml/meta
mixins	SlotDefinition			https://w3id.org/linkml/meta
modified_by	SlotDefinition			https://w3id.org/linkml/datasets
multivalued	SlotDefinition			https://w3id.org/linkml/meta
name	SlotDefinition			https://w3id.org/linkml/meta
narrow mappings	SlotDefinition	mappings		https://w3id.org/linkml/mappings
ncname	TypeDefinition			https://w3id.org/linkml/types
node_source	SlotDefinition			https://w3id.org/linkml/reporting
nodeidentifier	TypeDefinition			https://w3id.org/linkml/types
none_of	SlotDefinition	boolean_slot		https://w3id.org/linkml/meta
notes	SlotDefinition			https://w3id.org/linkml/meta
object	SlotDefinition			https://w3id.org/linkml/reporting
object_str	SlotDefinition			https://w3id.org/linkml/reporting
objectidentifier	TypeDefinition			https://w3id.org/linkml/types
obligation_level	SlotDefinition			https://w3id.org/linkml/meta
obligation_level_enum	EnumDefinition			https://w3id.org/linkml/meta
open_world	SlotDefinition			https://w3id.org/linkml/meta
operation_parameters	SlotDefinition			https://w3id.org/linkml/lib/arrays
owned_by	SlotDefinition			https://w3id.org/linkml/meta
owner	SlotDefinition			https://w3id.org/linkml/meta
page	SlotDefinition			https://w3id.org/linkml/datasets
partial_match	SlotDefinition			https://w3id.org/linkml/meta
path	SlotDefinition			https://w3id.org/linkml/datasets
path_expression	ClassDefinition			https://w3id.org/linkml/meta
path_rule	SlotDefinition			https://w3id.org/linkml/meta
pattern	SlotDefinition			https://w3id.org/linkml/meta
pattern_expression	ClassDefinition			https://w3id.org/linkml/meta
permissible_value	ClassDefinition			https://w3id.org/linkml/meta
permissible_values	SlotDefinition			https://w3id.org/linkml/meta
postconditions	SlotDefinition			https://w3id.org/linkml/meta
preconditions	SlotDefinition			https://w3id.org/linkml/meta
predicate	SlotDefinition			https://w3id.org/linkml/reporting
prefix	ClassDefinition			https://w3id.org/linkml/meta
prefix_prefix	SlotDefinition			https://w3id.org/linkml/meta
prefix_reference	SlotDefinition			https://w3id.org/linkml/meta
prefixes	SlotDefinition			https://w3id.org/linkml/meta
presence_enum	EnumDefinition			https://w3id.org/linkml/meta
problem_type	EnumDefinition			https://w3id.org/linkml/reporting
profile	SlotDefinition			https://w3id.org/linkml/datasets
publisher	SlotDefinition			https://w3id.org/linkml/datasets
pv_formula	SlotDefinition			https://w3id.org/linkml/meta
pv_formula_options	EnumDefinition			https://w3id.org/linkml/meta
quote_char	SlotDefinition			https://w3id.org/linkml/datasets
range	SlotDefinition			https://w3id.org/linkml/meta
range_expression	SlotDefinition			https://w3id.org/linkml/meta
rank	SlotDefinition			https://w3id.org/linkml/meta
reachability_query	ClassDefinition			https://w3id.org/linkml/meta
reachable_from	SlotDefinition			https://w3id.org/linkml/meta
readonly	SlotDefinition			https://w3id.org/linkml/meta
recommended	SlotDefinition			https://w3id.org/linkml/meta
reflexive	SlotDefinition	relational_logical_characteristic		https://w3id.org/linkml/meta
reflexive_transitive_form_of	SlotDefinition	transitive_form_of		https://w3id.org/linkml/meta
related mappings	SlotDefinition	mappings		https://w3id.org/linkml/mappings
relational_logical_characteristic	SlotDefinition		True	https://w3id.org/linkml/meta
relational_role	SlotDefinition			https://w3id.org/linkml/meta
relational_role_enum	EnumDefinition			https://w3id.org/linkml/meta
relationship_types	SlotDefinition			https://w3id.org/linkml/meta
repr	SlotDefinition			https://w3id.org/linkml/meta
represents_relationship	SlotDefinition			https://w3id.org/linkml/meta
required	SlotDefinition			https://w3id.org/linkml/meta
resources	SlotDefinition			https://w3id.org/linkml/datasets
results	SlotDefinition			https://w3id.org/linkml/reporting
reversed	SlotDefinition			https://w3id.org/linkml/meta
role	SlotDefinition			https://w3id.org/linkml/meta
rules	SlotDefinition			https://w3id.org/linkml/meta
schema_definition	ClassDefinition	element		https://w3id.org/linkml/meta
see_also	SlotDefinition			https://w3id.org/linkml/meta
series_label	SlotDefinition			https://w3id.org/linkml/lib/arrays
setting	ClassDefinition			https://w3id.org/linkml/meta
setting_key	SlotDefinition			https://w3id.org/linkml/meta
setting_value	SlotDefinition			https://w3id.org/linkml/meta
settings	SlotDefinition			https://w3id.org/linkml/meta
severity	SlotDefinition			https://w3id.org/linkml/reporting
severity_options	EnumDefinition			https://w3id.org/linkml/reporting
sha256	SlotDefinition	hash		https://w3id.org/linkml/datasets
shared	SlotDefinition			https://w3id.org/linkml/meta
signedinteger	TypeDefinition			https://w3id.org/linkml/extended_types
singular_name	SlotDefinition			https://w3id.org/linkml/meta
slot_conditions	SlotDefinition			https://w3id.org/linkml/meta
slot_definition	ClassDefinition	definition		https://w3id.org/linkml/meta
slot_definitions	SlotDefinition			https://w3id.org/linkml/meta
slot_expression	ClassDefinition	expression		https://w3id.org/linkml/meta
slot_group	SlotDefinition			https://w3id.org/linkml/meta
slot_names_unique	SlotDefinition			https://w3id.org/linkml/meta
slot_uri	SlotDefinition			https://w3id.org/linkml/meta
slot_usage	SlotDefinition			https://w3id.org/linkml/meta
slots	SlotDefinition			https://w3id.org/linkml/meta
source	SlotDefinition			https://w3id.org/linkml/meta
source_file	SlotDefinition			https://w3id.org/linkml/meta
source_file_date	SlotDefinition			https://w3id.org/linkml/meta
source_file_size	SlotDefinition			https://w3id.org/linkml/meta
source_nodes	SlotDefinition			https://w3id.org/linkml/meta
source_ontology	SlotDefinition			https://w3id.org/linkml/meta
sparqlpath	TypeDefinition			https://w3id.org/linkml/types
specified_input	SlotDefinition			https://w3id.org/linkml/lib/arrays
specified_output	SlotDefinition			https://w3id.org/linkml/lib/arrays
status	SlotDefinition			https://w3id.org/linkml/datasets
string	TypeDefinition			https://w3id.org/linkml/types
