filename	key	count	classification
nmdc_materialized_patterns.yaml	FBcv	1	application
nmdc_materialized_patterns.yaml	FICUS	1	application
nmdc_materialized_patterns.yaml	FMA	1	application
nmdc_materialized_patterns.yaml	FailureCategorization	1	application
nmdc_materialized_patterns.yaml	FailureWhatEnum	1	application
nmdc_materialized_patterns.yaml	FailureWhereEnum	1	application
nmdc_materialized_patterns.yaml	Fall	1	application
nmdc_materialized_patterns.yaml	Ferralsols	1	application
nmdc_materialized_patterns.yaml	FieldResearchSite	1	application
nmdc_materialized_patterns.yaml	FileTypeEnum	1	application
nmdc_materialized_patterns.yaml	Filtered Sequencing Reads	1	application
nmdc_materialized_patterns.yaml	FiltrationProcess	1	application
nmdc_materialized_patterns.yaml	Fluvioldeltaic	1	application
nmdc_materialized_patterns.yaml	Fluviomarine	1	application
nmdc_materialized_patterns.yaml	Fluvisols	1	application
nmdc_materialized_patterns.yaml	Formal Analysis	1	application
nmdc_materialized_patterns.yaml	Friday	1	application
nmdc_materialized_patterns.yaml	Functional Annotation GFF	1	application
nmdc_materialized_patterns.yaml	FunctionalAnnotation	1	application
nmdc_materialized_patterns.yaml	FunctionalAnnotationAggMember	1	application
nmdc_materialized_patterns.yaml	FunctionalAnnotationTerm	1	application
nmdc_materialized_patterns.yaml	Funding acquisition	1	application
nmdc_materialized_patterns.yaml	GBq	1	application
nmdc_materialized_patterns.yaml	GC-MS Metabolomics Results	1	application
nmdc_materialized_patterns.yaml	GC-MS Raw Data	1	application
nmdc_materialized_patterns.yaml	GENEPIO	1	application
nmdc_materialized_patterns.yaml	GHz	1	application
nmdc_materialized_patterns.yaml	GO	1	application
nmdc_materialized_patterns.yaml	GOTTCHA2 Classification Report	1	application
nmdc_materialized_patterns.yaml	GOTTCHA2 Krona Plot	1	application
nmdc_materialized_patterns.yaml	GOTTCHA2 Report Full	1	application
nmdc_materialized_patterns.yaml	GTDBTK Archaeal Summary	1	application
nmdc_materialized_patterns.yaml	GTDBTK Bacterial Summary	1	application
nmdc_materialized_patterns.yaml	Gas	1	application
nmdc_materialized_patterns.yaml	Gas Reservoir	1	application
nmdc_materialized_patterns.yaml	Gas-Condensate	1	application
nmdc_materialized_patterns.yaml	GeNomad Aggregated Classification	1	application
nmdc_materialized_patterns.yaml	Gene Phylogeny tsv	1	application
nmdc_materialized_patterns.yaml	GeneProduct	1	application
nmdc_materialized_patterns.yaml	Genemark Annotation GFF	1	application
nmdc_materialized_patterns.yaml	GenomeFeature	1	application
nmdc_materialized_patterns.yaml	GeolocationValue	1	application
nmdc_materialized_patterns.yaml	Gleysols	1	application
nmdc_materialized_patterns.yaml	Glu-C	1	application
nmdc_materialized_patterns.yaml	Greyzems	1	application
nmdc_materialized_patterns.yaml	Gy	1	application
nmdc_materialized_patterns.yaml	Gynodioecious	1	application
nmdc_materialized_patterns.yaml	Gynoecious	1	application
nmdc_materialized_patterns.yaml	Gynomonoecious	1	application
nmdc_materialized_patterns.yaml	Gypsisols	1	application
nmdc_materialized_patterns.yaml	HEPA	1	application
nmdc_materialized_patterns.yaml	HILIC	1	application
nmdc_materialized_patterns.yaml	HLB	1	application
nmdc_materialized_patterns.yaml	HMDB	1	application
nmdc_materialized_patterns.yaml	HQ	1	application
nmdc_materialized_patterns.yaml	Hermaphroditic	1	application
nmdc_materialized_patterns.yaml	Histosols	1	application
nmdc_materialized_patterns.yaml	Hz	1	application
nmdc_materialized_patterns.yaml	ILLUMINA_MI_SEQ	1	application
nmdc_materialized_patterns.yaml	ISA	1	application
nmdc_materialized_patterns.yaml	Illumina HiSeq 2500-1TB	1	application
nmdc_materialized_patterns.yaml	Illumina HiSeq 2500-Rapid	1	application
nmdc_materialized_patterns.yaml	Illumina NextSeq-HO	1	application
nmdc_materialized_patterns.yaml	Illumina NextSeq-MO	1	application
nmdc_materialized_patterns.yaml	Illumina NovaSeq S2	1	application
nmdc_materialized_patterns.yaml	Illumina NovaSeq S4	1	application
nmdc_materialized_patterns.yaml	Illumina NovaSeq SP	1	application
nmdc_materialized_patterns.yaml	ImageValue	1	application
nmdc_materialized_patterns.yaml	Imperfect	1	application
nmdc_materialized_patterns.yaml	InProgress	1	application
nmdc_materialized_patterns.yaml	InProgressUpdate	1	application
nmdc_materialized_patterns.yaml	InformationObject	1	application
nmdc_materialized_patterns.yaml	Instrument	1	application
nmdc_materialized_patterns.yaml	InstrumentModelEnum	1	application
nmdc_materialized_patterns.yaml	InstrumentVendorEnum	1	application
nmdc_materialized_patterns.yaml	Investigation	1	application
nmdc_materialized_patterns.yaml	IonizationSourceEnum	1	application
nmdc_materialized_patterns.yaml	J	1	application
nmdc_materialized_patterns.yaml	J/K	1	application
nmdc_materialized_patterns.yaml	JGI	1	application
nmdc_materialized_patterns.yaml	Jurassic	2	application
nmdc_materialized_patterns.yaml	KB	1	application
nmdc_materialized_patterns.yaml	KEGG.COMPOUND	1	application
nmdc_materialized_patterns.yaml	KEGG.MODULE	1	application
nmdc_materialized_patterns.yaml	KEGG.ORTHOLOGY	1	application
nmdc_materialized_patterns.yaml	KEGG.REACTION	1	application
nmdc_materialized_patterns.yaml	KEGG_PATHWAY	1	application
nmdc_materialized_patterns.yaml	KO_EC Annotation GFF	1	application
nmdc_materialized_patterns.yaml	Kastanozems	1	application
nmdc_materialized_patterns.yaml	Kraken2 Classification Report	1	application
nmdc_materialized_patterns.yaml	Kraken2 Krona Plot	1	application
nmdc_materialized_patterns.yaml	Kraken2 Taxonomic Classification	1	application
nmdc_materialized_patterns.yaml	L	1	application
nmdc_materialized_patterns.yaml	L/h	1	application
nmdc_materialized_patterns.yaml	L/s	1	application
nmdc_materialized_patterns.yaml	LC FT-ICR MS Analysis Results	1	application
nmdc_materialized_patterns.yaml	LC FT-ICR MS QC Plots	1	application
nmdc_materialized_patterns.yaml	LC FT-ICR MS Raw Data	1	application
nmdc_materialized_patterns.yaml	LC-DDA-MS/MS Raw Data	1	application
nmdc_materialized_patterns.yaml	LC-MS Lipidomics Processed Data	1	application
nmdc_materialized_patterns.yaml	LC-MS Lipidomics Results	1	application
nmdc_materialized_patterns.yaml	LC-MS Metabolomics Processed Data	1	application
nmdc_materialized_patterns.yaml	LC-MS Metabolomics Results	1	application
nmdc_materialized_patterns.yaml	LQ	1	application
nmdc_materialized_patterns.yaml	LTER	1	application
nmdc_materialized_patterns.yaml	Lacustine	1	application
nmdc_materialized_patterns.yaml	LibraryPreparation	2	application
nmdc_materialized_patterns.yaml	LibraryTypeEnum	1	application
nmdc_materialized_patterns.yaml	Limestone	1	application
nmdc_materialized_patterns.yaml	Lithosols	1	application
nmdc_materialized_patterns.yaml	Luvisols	1	application
nmdc_materialized_patterns.yaml	Lys-C	1	application
nmdc_materialized_patterns.yaml	Lys-N	1	application
nmdc_materialized_patterns.yaml	M horizon	1	application
nmdc_materialized_patterns.yaml	MASSIVE	1	application
nmdc_materialized_patterns.yaml	MBq	1	application
nmdc_materialized_patterns.yaml	MCO	1	application
nmdc_materialized_patterns.yaml	MESH	1	application
nmdc_materialized_patterns.yaml	MHz	1	application
nmdc_materialized_patterns.yaml	MISO	1	application
nmdc_materialized_patterns.yaml	MIXS	1	application
nmdc_materialized_patterns.yaml	MJ	1	application
nmdc_materialized_patterns.yaml	MPN	1	application
nmdc_materialized_patterns.yaml	MQ	1	application
nmdc_materialized_patterns.yaml	MS	1	application
nmdc_materialized_patterns.yaml	MSL	1	application
nmdc_materialized_patterns.yaml	MagBin	1	application
nmdc_materialized_patterns.yaml	MagsAnalysis	2	application
nmdc_materialized_patterns.yaml	Manifest	1	application
nmdc_materialized_patterns.yaml	ManifestCategoryEnum	1	application
nmdc_materialized_patterns.yaml	Marine	1	application
nmdc_materialized_patterns.yaml	Marine - Deep	1	application
nmdc_materialized_patterns.yaml	Marine - Reef	1	application
nmdc_materialized_patterns.yaml	Marine - Shallow	1	application
nmdc_materialized_patterns.yaml	Mass Spectrometry Reference Spectral Library	1	application
nmdc_materialized_patterns.yaml	MassAnalyzerEnum	1	application
nmdc_materialized_patterns.yaml	MassSpectrometry	2	application
nmdc_materialized_patterns.yaml	MassSpectrometryAcquisitionStrategyEnum	1	application
nmdc_materialized_patterns.yaml	MassSpectrometryConfiguration	1	application
nmdc_materialized_patterns.yaml	MassSpectrometryEnum	1	application
nmdc_materialized_patterns.yaml	MassSpectrumCollectionModeEnum	1	application
nmdc_materialized_patterns.yaml	MaterialEntity	1	application
nmdc_materialized_patterns.yaml	MaterialProcessing	1	application
nmdc_materialized_patterns.yaml	Mesozoic	2	application
nmdc_materialized_patterns.yaml	MetaCyc	1	application
nmdc_materialized_patterns.yaml	MetaNetX	1	application
nmdc_materialized_patterns.yaml	MetaboliteIdentification	1	application
nmdc_materialized_patterns.yaml	MetabolomicsAnalysis	2	application
nmdc_materialized_patterns.yaml	MetabolomicsAnalysisCategoryEnum	1	application
nmdc_materialized_patterns.yaml	Metagenome Bins Barplot	1	application
nmdc_materialized_patterns.yaml	Metagenome Bins Heatmap	1	application
nmdc_materialized_patterns.yaml	Metagenome Bins Info File	1	application
nmdc_materialized_patterns.yaml	Metagenome Bins Krona Plot	1	application
nmdc_materialized_patterns.yaml	Metagenome HQMQ Bins Compression File	1	application
nmdc_materialized_patterns.yaml	Metagenome LQ Bins Compression File	1	application
nmdc_materialized_patterns.yaml	Metagenome Raw Read 1	1	application
nmdc_materialized_patterns.yaml	Metagenome Raw Read 2	1	application
nmdc_materialized_patterns.yaml	Metagenome Raw Reads	1	application
nmdc_materialized_patterns.yaml	MetagenomeAnnotation	2	application
nmdc_materialized_patterns.yaml	MetagenomeAssembly	2	application
nmdc_materialized_patterns.yaml	Metaproteomics Workflow Statistics	1	application
nmdc_materialized_patterns.yaml	MetaproteomicsAnalysis	2	application
nmdc_materialized_patterns.yaml	MetaproteomicsAnalysisCategoryEnum	1	application
nmdc_materialized_patterns.yaml	Metatranscriptome Expression	1	application
nmdc_materialized_patterns.yaml	Metatranscriptome Expression Info File	1	application
nmdc_materialized_patterns.yaml	Metatranscriptome Expression Intergenic	1	application
nmdc_materialized_patterns.yaml	Metatranscriptome Raw Read 1	1	application
nmdc_materialized_patterns.yaml	Metatranscriptome Raw Read 2	1	application
nmdc_materialized_patterns.yaml	Metatranscriptome Raw Reads	1	application
nmdc_materialized_patterns.yaml	MetatranscriptomeAnnotation	2	application
nmdc_materialized_patterns.yaml	MetatranscriptomeAssembly	2	application
nmdc_materialized_patterns.yaml	MetatranscriptomeExpressionAnalysis	2	application
nmdc_materialized_patterns.yaml	Methodology	1	application
nmdc_materialized_patterns.yaml	Misc Annotation GFF	1	application
nmdc_materialized_patterns.yaml	MixingProcess	1	application
nmdc_materialized_patterns.yaml	MobilePhaseSegment	1	application
nmdc_materialized_patterns.yaml	Monday	1	application
nmdc_materialized_patterns.yaml	Monoclinous	1	application
nmdc_materialized_patterns.yaml	Monoecious	1	application
nmdc_materialized_patterns.yaml	Monthly	1	application
nmdc_materialized_patterns.yaml	N	1	application
nmdc_materialized_patterns.yaml	N-methyl-N-trimethylsilyltrifluoroacetamide	1	application
nmdc_materialized_patterns.yaml	NCBI	1	application
nmdc_materialized_patterns.yaml	NCBITaxon	1	application
nmdc_materialized_patterns.yaml	NCIT	1	application
nmdc_materialized_patterns.yaml	NEON	1	application
nmdc_materialized_patterns.yaml	NERSC-Cori	1	application
nmdc_materialized_patterns.yaml	NERSC-Perlmutter	1	application
nmdc_materialized_patterns.yaml	NH2	1	application
nmdc_materialized_patterns.yaml	NMDC	1	application
nmdc_materialized_patterns.yaml	NamedThing	1	application
nmdc_materialized_patterns.yaml	Neogene	2	application
nmdc_materialized_patterns.yaml	Nitosols	1	application
nmdc_materialized_patterns.yaml	NomAnalysis	2	application
nmdc_materialized_patterns.yaml	North side	1	application
nmdc_materialized_patterns.yaml	NucleotideSequencing	2	application
nmdc_materialized_patterns.yaml	NucleotideSequencingEnum	1	application
nmdc_materialized_patterns.yaml	O horizon	1	application
nmdc_materialized_patterns.yaml	OBI	1	application
nmdc_materialized_patterns.yaml	OMIT	1	application
nmdc_materialized_patterns.yaml	ORCID	1	application
nmdc_materialized_patterns.yaml	Oil	1	application
nmdc_materialized_patterns.yaml	Oil Reservoir	1	application
nmdc_materialized_patterns.yaml	Oil Sand	1	application
nmdc_materialized_patterns.yaml	OntologyClass	1	application
nmdc_materialized_patterns.yaml	OntologyRelation	1	application
nmdc_materialized_patterns.yaml	Orbitrap	1	application
nmdc_materialized_patterns.yaml	Ordovician	2	application
nmdc_materialized_patterns.yaml	OrthologyGroup	1	application
nmdc_materialized_patterns.yaml	Other - Evaporite	1	application
nmdc_materialized_patterns.yaml	Other - Glacial	1	application
nmdc_materialized_patterns.yaml	Other - Volcanic	1	application
nmdc_materialized_patterns.yaml	PANTHER.FAMILY	1	application
nmdc_materialized_patterns.yaml	PATO	1	application
nmdc_materialized_patterns.yaml	PFAM	1	application
nmdc_materialized_patterns.yaml	PFAM.CLAN	1	application
nmdc_materialized_patterns.yaml	PO	1	application
nmdc_materialized_patterns.yaml	PR	1	application
nmdc_materialized_patterns.yaml	PS-DVB	1	application
nmdc_materialized_patterns.yaml	PUBCHEM.COMPOUND	1	application
nmdc_materialized_patterns.yaml	PVC	1	application
nmdc_materialized_patterns.yaml	Paleogene	2	application
nmdc_materialized_patterns.yaml	Paleozoic	2	application
nmdc_materialized_patterns.yaml	Pathway	1	application
nmdc_materialized_patterns.yaml	PendingUserFacility	1	application
nmdc_materialized_patterns.yaml	Peptide Report	1	application
nmdc_materialized_patterns.yaml	Perfect	1	application
nmdc_materialized_patterns.yaml	Permafrost	1	application
nmdc_materialized_patterns.yaml	Permian	2	application
nmdc_materialized_patterns.yaml	PersonValue	1	application
nmdc_materialized_patterns.yaml	Pfam Annotation GFF	1	application
nmdc_materialized_patterns.yaml	Phaeozems	1	application
nmdc_materialized_patterns.yaml	Phenyl	1	application
nmdc_materialized_patterns.yaml	PlannedProcess	1	application
nmdc_materialized_patterns.yaml	Planosols	1	application
nmdc_materialized_patterns.yaml	Plasmid Summary	1	application
nmdc_materialized_patterns.yaml	Podzols	1	application
nmdc_materialized_patterns.yaml	Podzoluvisols	1	application
nmdc_materialized_patterns.yaml	PolarityModeEnum	1	application
nmdc_materialized_patterns.yaml	Polygamodioecious	1	application
nmdc_materialized_patterns.yaml	Polygamomonoecious	1	application
nmdc_materialized_patterns.yaml	Polygamous	1	application
nmdc_materialized_patterns.yaml	Polysiloxane	1	application
nmdc_materialized_patterns.yaml	Pooling	2	application
nmdc_materialized_patterns.yaml	PortionOfSubstance	1	application
nmdc_materialized_patterns.yaml	Precambrian	2	application
nmdc_materialized_patterns.yaml	Principal Investigator	1	application
nmdc_materialized_patterns.yaml	ProcessedSample	1	application
nmdc_materialized_patterns.yaml	ProcessingInstitutionEnum	1	application
nmdc_materialized_patterns.yaml	Prodigal Annotation GFF	1	application
nmdc_materialized_patterns.yaml	Product Names	1	application
nmdc_materialized_patterns.yaml	Project administration	1	application
nmdc_materialized_patterns.yaml	PropertyAssertion	1	application
nmdc_materialized_patterns.yaml	Protandrous	1	application
nmdc_materialized_patterns.yaml	Protein Report	1	application
nmdc_materialized_patterns.yaml	Proterozoic	2	application
nmdc_materialized_patterns.yaml	Protocol	1	application
nmdc_materialized_patterns.yaml	ProtocolCategoryEnum	1	application
nmdc_materialized_patterns.yaml	Protogynous	1	application
nmdc_materialized_patterns.yaml	QC Statistics	1	application
nmdc_materialized_patterns.yaml	QC Statistics Extended	1	application
nmdc_materialized_patterns.yaml	QC non-rRNA R1	1	application
nmdc_materialized_patterns.yaml	QC non-rRNA R2	1	application
nmdc_materialized_patterns.yaml	QuantityValue	1	application
nmdc_materialized_patterns.yaml	Quarterly	1	application
nmdc_materialized_patterns.yaml	R layer	1	application
