name	type	is_a	abstract
setting_value	SlotDefinition		
settings	SlotDefinition		
severity	SlotDefinition		
severity_options	EnumDefinition		
sha256	SlotDefinition	hash	
shared	SlotDefinition		
signedinteger	TypeDefinition		
singular_name	SlotDefinition		
slot_conditions	SlotDefinition		
slot_definition	ClassDefinition	definition	
slot_definitions	SlotDefinition		
slot_expression	ClassDefinition	expression	
slot_group	SlotDefinition		
slot_names_unique	SlotDefinition		
slot_uri	SlotDefinition		
slot_usage	SlotDefinition		
slots	SlotDefinition		
source	SlotDefinition		
source_file	SlotDefinition		
source_file_date	SlotDefinition		
source_file_size	SlotDefinition		
source_nodes	SlotDefinition		
source_ontology	SlotDefinition		
sparqlpath	TypeDefinition		
specified_input	SlotDefinition		
specified_output	SlotDefinition		
status	SlotDefinition		
string	TypeDefinition		
string_serialization	SlotDefinition		
structured_alias	ClassDefinition		
structured_aliases	SlotDefinition		
structured_imports	SlotDefinition		
structured_pattern	SlotDefinition		
subclass_of	SlotDefinition		
subject	SlotDefinition		
subproperty_of	SlotDefinition		
subset_definition	ClassDefinition	element	
subsets	SlotDefinition		
symbol	SlotDefinition		
symmetric	SlotDefinition	relational_logical_characteristic	
syntax	SlotDefinition		
test_roles	SlotDefinition		
text	SlotDefinition		
themes	SlotDefinition		
time	TypeDefinition		
title	SlotDefinition		
todos	SlotDefinition		
transitive	SlotDefinition	relational_logical_characteristic	
transitive_form_of	SlotDefinition		
traverse	SlotDefinition		
traverse_up	SlotDefinition		
tree_root	SlotDefinition		
type	SlotDefinition		
type_definition	ClassDefinition	element	
type_expression	ClassDefinition	expression	
type_mapping	ClassDefinition		
type_mappings	SlotDefinition		
type_uri	SlotDefinition		
typeof	SlotDefinition		
types	SlotDefinition		
ucum_code	SlotDefinition		
uint16	TypeDefinition		
uint32	TypeDefinition		
uint64	TypeDefinition		
uint8	TypeDefinition		
union_of	SlotDefinition		
unique_key	ClassDefinition		
unique_key_name	SlotDefinition		
unique_key_slots	SlotDefinition		
