slot	ucum_notation	problem
phosplipid_fatt_acid	mole per gram	1
phosplipid_fatt_acid	mol/L	0
photon_flux	number of photons per second per unit area	1
pollutants	g	0
pollutants	mol/L	0
pollutants	milligram per liter	1
pollutants	microgram per cubic meter	1
porosity	%	0
potassium	milligram per liter	1
potassium	parts per million	1
pour_point	Cel	0
pressure	atm	0
primary_prod	milligram per cubic meter per day	1
primary_prod	gram per square meter per day	1
prod_rate	m3/d	0
radiation_regm	rad	0
radiation_regm	Gy	0
rainfall_regm	mm	0
redox_potential	mV	0
rel_air_humidity	%	0
rel_humidity_out	gram of air	1
rel_humidity_out	kilogram of air	1
resins_pc	%	0
room_air_exch_rate	L/h	0
room_dim	m	0
room_door_dist	m	0
room_net_area	square feet	1
room_net_area	m2	0
room_vol	cubic feet	1
room_vol	m3	0
root_med_carbon	milligram per liter	1
root_med_macronutr	milligram per liter	1
root_med_micronutr	milligram per liter	1
root_med_regl	milligram per liter	1
root_med_suppl	milligram per liter	1
salinity	psu	0
salinity	%	0
salt_regm	g	0
salt_regm	ug	0
salt_regm	mol/L	0
salt_regm	g/L	0
samp_loc_corr_rate	millimeter per year	1
samp_md	m	0
samp_preserv	mL	0
samp_size	millliter	1
samp_size	g	0
samp_size	mg	0
samp_size	L	0
samp_store_temp	Cel	0
samp_time_out	h	0
samp_transport_cond	days;degree Celsius	1
samp_tvdss	m	0
samp_vol_we_dna_ext	millliter	1
samp_vol_we_dna_ext	g	0
samp_vol_we_dna_ext	mg	0
samp_vol_we_dna_ext	cm2	0
saturates_pc	%	0
season_precpt	mm	0
season_temp	Cel	0
silicate	micromole per liter	1
size_frac_low	micrometer	1
size_frac_up	micrometer	1
slope_aspect	degree	1
slope_gradient	%	0
sludge_retent_time	hours	1
sodium	milligram per liter	1
sodium	parts per million	1
solar_irradiance	kilowatts per square meter per day	1
solar_irradiance	ergs per square centimeter per second	1
soluble_inorg_mat	g	0
soluble_inorg_mat	ug	0
soluble_inorg_mat	mol/L	0
soluble_inorg_mat	g/L	0
soluble_inorg_mat	parts per million	1
soluble_org_mat	g	0
soluble_org_mat	ug	0
soluble_org_mat	mol/L	0
soluble_org_mat	g/L	0
soluble_org_mat	parts per million	1
soluble_react_phosp	micromole per liter	1
soluble_react_phosp	milligram per liter	1
soluble_react_phosp	parts per million	1
specific_humidity	gram of air	1
specific_humidity	kilogram of air	1
sulfate	micromole per liter	1
sulfate	milligram per liter	1
sulfate	parts per million	1
sulfate_fw	milligram per liter	1
sulfide	micromole per liter	1
sulfide	milligram per liter	1
sulfide	parts per million	1
surf_humidity	%	0
surf_moisture	parts per million	1
surf_moisture	g/m3	0
surf_moisture	gram per square meter	1
surf_temp	Cel	0
suspend_part_matter	milligram per liter	1
suspend_solids	g	0
suspend_solids	ug	0
suspend_solids	milligram per liter	1
suspend_solids	mol/L	0
suspend_solids	g/L	0
suspend_solids	part per million	1
tan	milligram per liter	1
temp	Cel	0
temp_out	Cel	0
toluene	milligram per liter	1
toluene	parts per million	1
tot_carb	microgram per liter	1
tot_depth_water_col	m	0
tot_diss_nitro	microgram per liter	1
tot_inorg_nitro	microgram per liter	1
tot_iron	milligram per liter	1
tot_iron	milligram per kilogram	1
tot_nitro	microgram per liter	1
tot_nitro	micromole per liter	1
tot_nitro	milligram per liter	1
tot_nitro_content	microgram per liter	1
tot_nitro_content	micromole per liter	1
tot_nitro_content	milligram per liter	1
tot_org_carb	gram Carbon per kilogram sample material	1
tot_part_carb	microgram per liter	1
tot_part_carb	micromole per liter	1
tot_phosp	micromole per liter	1
tot_phosp	milligram per liter	1
tot_phosp	parts per million	1
tot_phosphate	microgram per liter	1
tot_phosphate	micromole per liter	1
tot_sulfur	milligram per liter	1
tot_sulfur	parts per million	1
turbidity	formazin turbidity unit	1
turbidity	formazin nephelometric units	1
tvdss_of_hcr_press	m	0
tvdss_of_hcr_temp	m	0
ventilation_rate	cubic meter per minute	1
ventilation_rate	liters per second	1
vfa	milligram per liter	1
vfa	parts per million	1
vfa_fw	milligram per liter	1
viscosity	cP at degree Celsius	1
volatile_org_comp	microgram per cubic meter	1
volatile_org_comp	parts per million	1
volatile_org_comp	ng/L	0
wall_area	m2	0
wall_height	cm	0
wall_thermal_mass	joule per degree Celsius	1
water_content	gram per gram or cubic centimeter per cubic centimeter	1
water_content	gram per gram or cubic centimeter per cubic centimeter	1
water_current	m3/s	0
water_current	knots	1
water_cut	%	0
water_feat_size	m2	0
water_prod_rate	m3/d	0
water_temp_regm	Cel	0
watering_regm	mL	0
watering_regm	L	0
wind_speed	m/s	0
wind_speed	km/h	0
window_size	inch	1
window_size	m	0
xylene	milligram per liter	1
xylene	parts per million	1
zinc	mg/kg (ppm)	1
