enumeration name	permissible value name	PV meaning
organism_count_enum	other	
oxy_stat_samp_enum		
oxy_stat_samp_enum	aerobic	
oxy_stat_samp_enum	anaerobic	
oxy_stat_samp_enum	other	
plant_growth_med_enum		
plant_growth_med_enum	other artificial liquid medium	
plant_growth_med_enum	other artificial solid medium	
plant_growth_med_enum	peat moss	
plant_growth_med_enum	perlite	
plant_growth_med_enum	pumice	
plant_growth_med_enum	sand	
plant_growth_med_enum	soil	
plant_growth_med_enum	vermiculite	
plant_growth_med_enum	water	
plant_sex_enum		
plant_sex_enum	Androdioecious	
plant_sex_enum	Androecious	
plant_sex_enum	Androgynous	
plant_sex_enum	Androgynomonoecious	
plant_sex_enum	Andromonoecious	
plant_sex_enum	Bisexual	
plant_sex_enum	Dichogamous	
plant_sex_enum	Diclinous	
plant_sex_enum	Dioecious	
plant_sex_enum	Gynodioecious	
plant_sex_enum	Gynoecious	
plant_sex_enum	Gynomonoecious	
plant_sex_enum	Hermaphroditic	
plant_sex_enum	Imperfect	
plant_sex_enum	Monoclinous	
plant_sex_enum	Monoecious	
plant_sex_enum	Perfect	
plant_sex_enum	Polygamodioecious	
plant_sex_enum	Polygamomonoecious	
plant_sex_enum	Polygamous	
plant_sex_enum	Protandrous	
plant_sex_enum	Protogynous	
plant_sex_enum	Subandroecious	
plant_sex_enum	Subdioecious	
plant_sex_enum	Subgynoecious	
plant_sex_enum	Synoecious	
plant_sex_enum	Trimonoecious	
plant_sex_enum	Trioecious	
plant_sex_enum	Unisexual	
profile_position_enum		
profile_position_enum	summit	
profile_position_enum	shoulder	
profile_position_enum	backslope	
profile_position_enum	footslope	
profile_position_enum	toeslope	
quad_pos_enum		
quad_pos_enum	North side	
quad_pos_enum	West side	
quad_pos_enum	South side	
quad_pos_enum	East side	
rel_samp_loc_enum		
rel_samp_loc_enum	edge of car	
rel_samp_loc_enum	center of car	
rel_samp_loc_enum	under a seat	
room_condt_enum		
room_condt_enum	new	
room_condt_enum	visible wear	
room_condt_enum	needs repair	
room_condt_enum	damaged	
room_condt_enum	rupture	
room_condt_enum	visible signs of mold/mildew	
room_connected_enum		
room_connected_enum	attic	
room_connected_enum	bathroom	
room_connected_enum	closet	
room_connected_enum	conference room	
room_connected_enum	elevator	
room_connected_enum	examining room	
room_connected_enum	hallway	
room_connected_enum	kitchen	
room_connected_enum	mail room	
room_connected_enum	office	
room_connected_enum	stairwell	
room_loc_enum		
room_loc_enum	corner room	
room_loc_enum	interior room	
room_loc_enum	exterior wall	
room_samp_pos_enum		
room_samp_pos_enum	north corner	
room_samp_pos_enum	south corner	
room_samp_pos_enum	west corner	
room_samp_pos_enum	east corner	
room_samp_pos_enum	northeast corner	
room_samp_pos_enum	northwest corner	
room_samp_pos_enum	southeast corner	
room_samp_pos_enum	southwest corner	
room_samp_pos_enum	center	
room_type_enum		
room_type_enum	attic	
room_type_enum	bathroom	
room_type_enum	closet	
room_type_enum	conference room	
room_type_enum	elevator	
room_type_enum	examining room	
room_type_enum	hallway	
room_type_enum	kitchen	
room_type_enum	mail room	
room_type_enum	private office	
room_type_enum	open office	
room_type_enum	stairwell	
room_type_enum	,restroom	
room_type_enum	lobby	
room_type_enum	vestibule	
room_type_enum	mechanical or electrical room	
room_type_enum	data center	
room_type_enum	laboratory_wet	
room_type_enum	laboratory_dry	
room_type_enum	gymnasium	
room_type_enum	natatorium	
room_type_enum	auditorium	
room_type_enum	lockers	
room_type_enum	cafe	
room_type_enum	warehouse	
samp_capt_status_enum		
samp_capt_status_enum	active surveillance in response to an outbreak	
samp_capt_status_enum	active surveillance not initiated by an outbreak	
samp_capt_status_enum	farm sample	
samp_capt_status_enum	market sample	
samp_capt_status_enum	other	
samp_collect_point_enum		
samp_collect_point_enum	well	
samp_collect_point_enum	test well	
samp_collect_point_enum	drilling rig	
samp_collect_point_enum	wellhead	
samp_collect_point_enum	separator	
samp_collect_point_enum	storage tank	
samp_collect_point_enum	other	
samp_dis_stage_enum		
