DH pulldown column	DH pulldown option
SpecificEcosystemEnum	Udder
SpecificEcosystemEnum	Udder dermatitis
SpecificEcosystemEnum	Abdomen
SpecificEcosystemEnum	Forelegs
SpecificEcosystemEnum	Groin
SpecificEcosystemEnum	Head
SpecificEcosystemEnum	Hind legs
SpecificEcosystemEnum	Neck
SpecificEcosystemEnum	Thorax
SpecificEcosystemEnum	Pooled tissues
SpecificEcosystemEnum	Viscera
SpecificEcosystemEnum	Coprolite
SpecificEcosystemEnum	Seminal fluid
SpecificEcosystemEnum	Catarrh
SpecificEcosystemEnum	Empyema
SpecificEcosystemEnum	Synovium
SpecificEcosystemEnum	Unspecified tissue
SpecificEcosystemEnum	Cecum/Intestinal cecum
SpecificEcosystemEnum	Intestine: Digesta
SpecificEcosystemEnum	Hepatopancreas/Digestive gland/Hepatic cecum
SpecificEcosystemEnum	Mantle fluid
SpecificEcosystemEnum	Siphon
SpecificEcosystemEnum	Intracellular
SpecificEcosystemEnum	Rhizoids
SpecificEcosystemEnum	Sporophytes
SpecificEcosystemEnum	Thallus/Plant body
SpecificEcosystemEnum	Shoots
SpecificEcosystemEnum	Spores
SpecificEcosystemEnum	Gametophytes
SpecificEcosystemEnum	Seta
SpecificEcosystemEnum	Sporangium
SpecificEcosystemEnum	Nectar
SpecificEcosystemEnum	Pollen
SpecificEcosystemEnum	Endophytes
SpecificEcosystemEnum	Epiphytes
SpecificEcosystemEnum	Bark
SpecificEcosystemEnum	Endosphere
SpecificEcosystemEnum	Epicuticular wax
SpecificEcosystemEnum	Leaf lesion
SpecificEcosystemEnum	Leaf nodule
SpecificEcosystemEnum	Leaf surface
SpecificEcosystemEnum	Leaf surface biofilm
SpecificEcosystemEnum	Pitcher
SpecificEcosystemEnum	Pitcher fluid
SpecificEcosystemEnum	Xylem vessels
SpecificEcosystemEnum	Wood decay
SpecificEcosystemEnum	Wood/Secondary xylem
SpecificEcosystemEnum	Mucilage
SpecificEcosystemEnum	Anaerobic
EcosystemCategoryEnum	Animal feed production
EcosystemCategoryEnum	Artificial ecosystem
EcosystemCategoryEnum	Bioreactor
EcosystemCategoryEnum	Bioremediation
EcosystemCategoryEnum	Biotransformation
EcosystemCategoryEnum	Built environment
EcosystemCategoryEnum	Feedstock
EcosystemCategoryEnum	Food production
EcosystemCategoryEnum	Industrial production
EcosystemCategoryEnum	Lab culture
EcosystemCategoryEnum	Lab enrichment
EcosystemCategoryEnum	Lab synthesis
EcosystemCategoryEnum	Laboratory developed
EcosystemCategoryEnum	Modeled
EcosystemCategoryEnum	Paper
EcosystemCategoryEnum	Sewage treatment plant
EcosystemCategoryEnum	Solid waste
EcosystemCategoryEnum	Unclassified
EcosystemCategoryEnum	WWTP
EcosystemCategoryEnum	Wastewater
EcosystemCategoryEnum	Air
EcosystemCategoryEnum	Aquatic
EcosystemCategoryEnum	Terrestrial
EcosystemCategoryEnum	Algae
EcosystemCategoryEnum	Amoebozoa
EcosystemCategoryEnum	Amphibia
EcosystemCategoryEnum	Annelida
EcosystemCategoryEnum	Arthropoda: Chelicerates
EcosystemCategoryEnum	Arthropoda: Crustaceans
EcosystemCategoryEnum	Arthropoda: Insects
EcosystemCategoryEnum	Arthropoda: Myriapoda
EcosystemCategoryEnum	Birds
EcosystemCategoryEnum	Bryozoa
EcosystemCategoryEnum	Cephalochordata
EcosystemCategoryEnum	Cnidaria
EcosystemCategoryEnum	Endosymbionts
EcosystemCategoryEnum	Fish
EcosystemCategoryEnum	Fungi
EcosystemCategoryEnum	Invertebrates
EcosystemCategoryEnum	Mammals: Human
EcosystemCategoryEnum	Mammals
EcosystemCategoryEnum	Microbial
EcosystemCategoryEnum	Mollusca
EcosystemCategoryEnum	Plants
EcosystemCategoryEnum	Porifera
EcosystemCategoryEnum	Protists
EcosystemCategoryEnum	Protozoa
EcosystemCategoryEnum	Reptilia
EcosystemCategoryEnum	Tunicates
EcosystemTypeEnum	Fermentation
EcosystemTypeEnum	Aquaculture
EcosystemTypeEnum	Mesocosm
EcosystemTypeEnum	Microcosm
EcosystemTypeEnum	Mud microcosm
EcosystemTypeEnum	Nutrient-poor
EcosystemTypeEnum	Nutrient-rich
EcosystemTypeEnum	Plant growth chamber
EcosystemTypeEnum	Sand microcosm
EcosystemTypeEnum	Seawater microcosm
EcosystemTypeEnum	Sediment microcosm
EcosystemTypeEnum	Soil microcosm
EcosystemTypeEnum	Unclassified
EcosystemTypeEnum	Vivarium
EcosystemTypeEnum	Water microcosm
EcosystemTypeEnum	Aerobic
EcosystemTypeEnum	Anaerobic
EcosystemTypeEnum	Continuous culture
EcosystemTypeEnum	DHS reactor
EcosystemTypeEnum	Denitrification
EcosystemTypeEnum	EBPR
EcosystemTypeEnum	High-salinity/high-pH
EcosystemTypeEnum	MBR (Membrane bioreactor)
EcosystemTypeEnum	Microbial fuel cells/MFC
EcosystemTypeEnum	Photobioreactor (PBR)
EcosystemTypeEnum	SBR-EBPR
EcosystemTypeEnum	SSF (Solid state fermentation)
EcosystemTypeEnum	Semi-continuous
EcosystemTypeEnum	Sulphur Autotrophic Denitrification
EcosystemTypeEnum	Thiocyanate-remediating
EcosystemTypeEnum	UASB (Upflow anaerobic sludge blanket)
EcosystemTypeEnum	Wastewater
EcosystemTypeEnum	Hydrocarbon
EcosystemTypeEnum	Metal
EcosystemTypeEnum	Persistent organic pollutants (POP)
EcosystemTypeEnum	Terephthalate
EcosystemTypeEnum	Tetrachloroethylene and derivatives
EcosystemTypeEnum	Thiocyanate
EcosystemTypeEnum	Coal
EcosystemTypeEnum	Microbial enhanced oil recovery
EcosystemTypeEnum	Microbial solubilization of coal
EcosystemTypeEnum	Mixed alcohol bioreactor
EcosystemTypeEnum	Animal cage
EcosystemTypeEnum	Building
EcosystemTypeEnum	Canal
EcosystemTypeEnum	Cement wall
EcosystemTypeEnum	City
EcosystemTypeEnum	Dairy processing facility
EcosystemTypeEnum	Drinking water treatment plant
EcosystemTypeEnum	Fermentation pit
EcosystemTypeEnum	Hospital
EcosystemTypeEnum	House
EcosystemTypeEnum	International Space Station
EcosystemTypeEnum	Mine
EcosystemTypeEnum	Monument
EcosystemTypeEnum	Mushroom farm
EcosystemTypeEnum	Nuclear test reactor
EcosystemTypeEnum	Oil refinery
EcosystemTypeEnum	Pipeline
EcosystemTypeEnum	Solar panel
EcosystemTypeEnum	Spacecraft Assembly Cleanrooms
EcosystemTypeEnum	Swimming pool
EcosystemTypeEnum	Swine confinement building
EcosystemTypeEnum	Tailings pond
EcosystemTypeEnum	Water treatment plant
EcosystemTypeEnum	Composting
EcosystemTypeEnum	Baby formula
EcosystemTypeEnum	Beans
EcosystemTypeEnum	Beverages
EcosystemTypeEnum	Bread production
EcosystemTypeEnum	Dairy products
EcosystemTypeEnum	Egg products
EcosystemTypeEnum	Fermentation cellar
EcosystemTypeEnum	Fermentation starter
EcosystemTypeEnum	Fermented beverages
EcosystemTypeEnum	Fermented food
EcosystemTypeEnum	Fermented seafood
EcosystemTypeEnum	Fermented vegetables
EcosystemTypeEnum	Fish products
EcosystemTypeEnum	Food sample
EcosystemTypeEnum	Grains/Grain products
EcosystemTypeEnum	Meat products
EcosystemTypeEnum	Nuts
EcosystemTypeEnum	Pastry
EcosystemTypeEnum	Plant products
EcosystemTypeEnum	Salt
EcosystemTypeEnum	Seafood product
EcosystemTypeEnum	Seafood
EcosystemTypeEnum	Silage fermentation
EcosystemTypeEnum	Sourdough
EcosystemTypeEnum	Spices
EcosystemTypeEnum	Sweets
EcosystemTypeEnum	Biochar
EcosystemTypeEnum	Chemical products
EcosystemTypeEnum	Engineered product
EcosystemTypeEnum	Train car
EcosystemTypeEnum	Culture media
EcosystemTypeEnum	Defined media
EcosystemTypeEnum	Percolator
EcosystemTypeEnum	Undefined media
EcosystemTypeEnum	Genetic cross
EcosystemTypeEnum	Genetically modified
EcosystemTypeEnum	Simulated communities (DNA mixture)
EcosystemTypeEnum	Simulated communities (contig mixture)
EcosystemTypeEnum	Simulated communities (microbial mixture)
EcosystemTypeEnum	Simulated communities (sequence read mixture)
EcosystemTypeEnum	Currency notes
EcosystemTypeEnum	Activated sludge
EcosystemTypeEnum	Sludge
EcosystemTypeEnum	Agricultural waste
EcosystemTypeEnum	Animal waste
EcosystemTypeEnum	Bagasse
EcosystemTypeEnum	Bio- and green waste (BGW)
EcosystemTypeEnum	Brown waste
EcosystemTypeEnum	Cellulose associated waste
EcosystemTypeEnum	Feedstock
EcosystemTypeEnum	Food waste
EcosystemTypeEnum	Grass
EcosystemTypeEnum	Green waste
EcosystemTypeEnum	Household waste
EcosystemTypeEnum	Human waste
EcosystemTypeEnum	Industrial waste
EcosystemTypeEnum	Landfill
EcosystemTypeEnum	Latrine chamber
EcosystemTypeEnum	Mixed feedstock
EcosystemTypeEnum	Unknown material
EcosystemTypeEnum	Urban waste
EcosystemTypeEnum	Vegetable
EcosystemTypeEnum	Vermicompost
EcosystemTypeEnum	Wood
EcosystemTypeEnum	Zoo waste
EcosystemTypeEnum	A/O treatment system
EcosystemTypeEnum	Aerobic digester
EcosystemTypeEnum	Anaerobic digester
EcosystemTypeEnum	Effluent
EcosystemTypeEnum	Influent
EcosystemTypeEnum	Mixed liquor
EcosystemTypeEnum	Activated Sludge
EcosystemTypeEnum	Anaerobic digestor
EcosystemTypeEnum	Industrial wastewater
EcosystemTypeEnum	Municipal landfill
EcosystemTypeEnum	Nutrient removal
EcosystemTypeEnum	Reclaimed/Recycled wastewater
EcosystemTypeEnum	Sewage
EcosystemTypeEnum	Urban wastewater
EcosystemTypeEnum	Indoor Air
EcosystemTypeEnum	Outdoor Air
EcosystemTypeEnum	Acidic
EcosystemTypeEnum	Artesian spring
EcosystemTypeEnum	Deep subsurface
EcosystemTypeEnum	Floodplain
EcosystemTypeEnum	Freshwater
EcosystemTypeEnum	Marine
EcosystemTypeEnum	Non-marine Saline and Alkaline
EcosystemTypeEnum	Pit lake
EcosystemTypeEnum	Sediment
EcosystemTypeEnum	Thermal springs
EcosystemTypeEnum	Agricultural field
EcosystemTypeEnum	Asphalt lakes
EcosystemTypeEnum	Cave
EcosystemTypeEnum	Desert
EcosystemTypeEnum	Geologic
EcosystemTypeEnum	Mud volcano
EcosystemTypeEnum	Nest
EcosystemTypeEnum	Oil reservoir
EcosystemTypeEnum	Plant litter
EcosystemTypeEnum	Rock-dwelling (endoliths)
EcosystemTypeEnum	Rock-dwelling (subaerial biofilms)
EcosystemTypeEnum	Saprolite–Bedrock interface
EcosystemTypeEnum	Sargassum
EcosystemTypeEnum	Soil-bedrock interface
EcosystemTypeEnum	Soil
EcosystemTypeEnum	Subsurface
EcosystemTypeEnum	Volcanic
EcosystemTypeEnum	Biocrust
EcosystemTypeEnum	Brown Algae
EcosystemTypeEnum	Diatoms
EcosystemTypeEnum	Dinoflagellata
EcosystemTypeEnum	Golden Algae
EcosystemTypeEnum	Green algae
EcosystemTypeEnum	Haptophytes
EcosystemTypeEnum	Microalgae
EcosystemTypeEnum	Mixed algae turf
EcosystemTypeEnum	Red algae
EcosystemTypeEnum	Yellow-green algae
EcosystemTypeEnum	Pessonella
EcosystemTypeEnum	Digestive system
EcosystemTypeEnum	Respiratory system
EcosystemTypeEnum	Urinary system
EcosystemTypeEnum	Excretory system
EcosystemTypeEnum	Gills
EcosystemTypeEnum	Integument
EcosystemTypeEnum	Intracellular endosymbionts
EcosystemTypeEnum	Reproductive system
EcosystemTypeEnum	Tissue
EcosystemTypeEnum	Whole body
EcosystemTypeEnum	Cell Line
EcosystemTypeEnum	Circulatory system
EcosystemTypeEnum	Integumentary system
EcosystemTypeEnum	Larva: Nauplius
EcosystemTypeEnum	Larva: Zoea
EcosystemTypeEnum	Larva
EcosystemTypeEnum	Post-larva
EcosystemTypeEnum	Abdomen
EcosystemTypeEnum	Fat body
EcosystemTypeEnum	Head
EcosystemTypeEnum	Legs and wings
EcosystemTypeEnum	Multiple systems
EcosystemTypeEnum	Muscular system
EcosystemTypeEnum	Nervous system
EcosystemTypeEnum	Nymph/Instar
EcosystemTypeEnum	Ootheca/Egg mass
EcosystemTypeEnum	Prepupa
EcosystemTypeEnum	Pupa
EcosystemTypeEnum	Thorax
EcosystemTypeEnum	Endocrine system
EcosystemTypeEnum	Lymphatic system
EcosystemTypeEnum	Remains
EcosystemTypeEnum	Skeletal system
EcosystemTypeEnum	Bacteria
EcosystemTypeEnum	Fungi
EcosystemTypeEnum	Embryo
EcosystemTypeEnum	Olfactory system
EcosystemTypeEnum	Swim bladder
EcosystemTypeEnum	Visual system
EcosystemTypeEnum	Appressorium
EcosystemTypeEnum	Fruiting body
EcosystemTypeEnum	Germ tube
EcosystemTypeEnum	Lichen
EcosystemTypeEnum	Mycelium
EcosystemTypeEnum	Mycorrhiza
EcosystemTypeEnum	Sclerotium
EcosystemTypeEnum	Spore
EcosystemTypeEnum	Bryozoans
EcosystemTypeEnum	Cnidaria
EcosystemTypeEnum	Ctenophora
EcosystemTypeEnum	Echinodermata
EcosystemTypeEnum	Nematoda
EcosystemTypeEnum	Platyhelminthes
EcosystemTypeEnum	Abdominal/Peritoneal cavity
EcosystemTypeEnum	Auditory/Hearing system
EcosystemTypeEnum	Benign tumor
EcosystemTypeEnum	Cell culture
EcosystemTypeEnum	Connective tissue
EcosystemTypeEnum	Fetus
EcosystemTypeEnum	Malignant tumor
EcosystemTypeEnum	Multisystem conditions
EcosystemTypeEnum	Thoracic cavity
EcosystemTypeEnum	Abdominal cavity
EcosystemTypeEnum	Tumor
EcosystemTypeEnum	Unspecified system
EcosystemTypeEnum	Bacterivore
EcosystemTypeEnum	Dinoflagellates
EcosystemTypeEnum	Bivalves
EcosystemTypeEnum	Larvae
EcosystemTypeEnum	Oyster
EcosystemTypeEnum	Sensory organs
EcosystemTypeEnum	Shell
EcosystemTypeEnum	Bryophytes
EcosystemTypeEnum	Endosphere
EcosystemTypeEnum	Mixed parts
EcosystemTypeEnum	Nodule
EcosystemTypeEnum	Peat moss
EcosystemTypeEnum	Phyllosphere
EcosystemTypeEnum	Pitcher
EcosystemTypeEnum	Plant callus
EcosystemTypeEnum	Rhizoid
EcosystemTypeEnum	Rhizome
EcosystemTypeEnum	Roots
EcosystemTypeEnum	Seeds
EcosystemTypeEnum	Whole plant body
EcosystemTypeEnum	Sponge
EcosystemTypeEnum	Amoebozoa
EcosystemTypeEnum	Breviatea
EcosystemTypeEnum	Excavata
EcosystemTypeEnum	Nanoflagellates
EcosystemTypeEnum	Oomycetes
EcosystemTypeEnum	Oxymonads
EcosystemTypeEnum	Sporozoa
EcosystemTypeEnum	Ascidians
EcosystemSubtypeEnum	Swine waste with corn
EcosystemSubtypeEnum	Unclassified
EcosystemSubtypeEnum	Algae raceway pond
EcosystemSubtypeEnum	Crustaceans pond
EcosystemSubtypeEnum	Crustaceans raceway
EcosystemSubtypeEnum	Crustaceans tank
EcosystemSubtypeEnum	Fish pond
EcosystemSubtypeEnum	Fish tank
EcosystemSubtypeEnum	Marine fish farm
EcosystemSubtypeEnum	Molluscs farm
EcosystemSubtypeEnum	Molluscs pond
EcosystemSubtypeEnum	Molluscs tank
EcosystemSubtypeEnum	Photobioreactor (PBR)
EcosystemSubtypeEnum	Freshwater
EcosystemSubtypeEnum	Lake water
EcosystemSubtypeEnum	River water
EcosystemSubtypeEnum	Seawater
EcosystemSubtypeEnum	Soil
EcosystemSubtypeEnum	Pine litter on sand
EcosystemSubtypeEnum	R2A agar
EcosystemSubtypeEnum	Hydroponic media
EcosystemSubtypeEnum	Wetland sediment
EcosystemSubtypeEnum	Contaminated soil
EcosystemSubtypeEnum	Surface biofilm
EcosystemSubtypeEnum	Freshwater aquarium
EcosystemSubtypeEnum	Herpetarium
EcosystemSubtypeEnum	Insectarium
EcosystemSubtypeEnum	Oceanarium
EcosystemSubtypeEnum	Seawater aquarium
EcosystemSubtypeEnum	Terrarium
EcosystemSubtypeEnum	AGS (Aerobic granular sludge)
EcosystemSubtypeEnum	Activated sludge
EcosystemSubtypeEnum	Biofilm
EcosystemSubtypeEnum	Biogas
EcosystemSubtypeEnum	Biomass
EcosystemSubtypeEnum	Digestate
EcosystemSubtypeEnum	Effluent
EcosystemSubtypeEnum	Inoculum
EcosystemSubtypeEnum	Leachate
EcosystemSubtypeEnum	Manure
EcosystemSubtypeEnum	Settled granule
EcosystemSubtypeEnum	Sludge
EcosystemSubtypeEnum	Thermophilic digester
EcosystemSubtypeEnum	Wastewater
EcosystemSubtypeEnum	Marine sediment inoculum
EcosystemSubtypeEnum	Woodchip Bioreactor (WBR)
EcosystemSubtypeEnum	Anaerobic-Aerobic
EcosystemSubtypeEnum	Mixed liquor
EcosystemSubtypeEnum	Produced water
EcosystemSubtypeEnum	Anode
EcosystemSubtypeEnum	Cathode
EcosystemSubtypeEnum	Aerobic
EcosystemSubtypeEnum	Anaerobic
EcosystemSubtypeEnum	Interstitial water
EcosystemSubtypeEnum	Cyanide/thiocyanate
EcosystemSubtypeEnum	Benzene
EcosystemSubtypeEnum	Methane
EcosystemSubtypeEnum	Xylene
EcosystemSubtypeEnum	Polycyclic aromatic hydrocarbons
EcosystemSubtypeEnum	Chloroethene
EcosystemSubtypeEnum	Tetrachloroethylene
EcosystemSubtypeEnum	Reptile cage
EcosystemSubtypeEnum	Irrigation canal
EcosystemSubtypeEnum	Water
EcosystemSubtypeEnum	Park
EcosystemSubtypeEnum	Subway
EcosystemSubtypeEnum	Drinking water filter
EcosystemSubtypeEnum	Drinking water
EcosystemSubtypeEnum	Mud
EcosystemSubtypeEnum	Hospital bedroom
EcosystemSubtypeEnum	ICU
EcosystemSubtypeEnum	Doormat
EcosystemSubtypeEnum	Dust
EcosystemSubtypeEnum	Coal mine
EcosystemSubtypeEnum	Oil sands
EcosystemSubtypeEnum	Interior wall
EcosystemSubtypeEnum	Stone
EcosystemSubtypeEnum	Cultivation substrate
EcosystemSubtypeEnum	Cooling water
EcosystemSubtypeEnum	Crude oil sludge
EcosystemSubtypeEnum	Oil-contaminated sediment
EcosystemSubtypeEnum	Petroleum sludge
EcosystemSubtypeEnum	Drinking water pipeline
EcosystemSubtypeEnum	Oil/Gas pipeline
EcosystemSubtypeEnum	Air
EcosystemSubtypeEnum	Floor
EcosystemSubtypeEnum	Gowning room
EcosystemSubtypeEnum	Sand filter
EcosystemSubtypeEnum	Petrochemical
EcosystemSubtypeEnum	Juice
EcosystemSubtypeEnum	Bread
EcosystemSubtypeEnum	Fermented dairy products
EcosystemSubtypeEnum	Ice cream
EcosystemSubtypeEnum	Processed milk
EcosystemSubtypeEnum	Raw milk
EcosystemSubtypeEnum	Pit mud
EcosystemSubtypeEnum	Vinegar
EcosystemSubtypeEnum	Soy sauce
EcosystemSubtypeEnum	Soybean paste
EcosystemSubtypeEnum	Cold smoked fish
EcosystemSubtypeEnum	Cooked fish
EcosystemSubtypeEnum	Fermented fish
EcosystemSubtypeEnum	Salted fish
EcosystemSubtypeEnum	Beef
EcosystemSubtypeEnum	Cooked meat
EcosystemSubtypeEnum	Fermented meat products
EcosystemSubtypeEnum	Raw meat
EcosystemSubtypeEnum	Morphine
EcosystemSubtypeEnum	Solar salt
EcosystemSubtypeEnum	Frozen seafood
EcosystemSubtypeEnum	Buffer
EcosystemSubtypeEnum	Distilled water
EcosystemSubtypeEnum	Input fracking water
EcosystemSubtypeEnum	Lab-grade water
EcosystemSubtypeEnum	PCR blank control
EcosystemSubtypeEnum	Reagent blank
EcosystemSubtypeEnum	Sheath fluid
EcosystemSubtypeEnum	Aviation fuel
EcosystemSubtypeEnum	Bioanode
EcosystemSubtypeEnum	Biocathode
EcosystemSubtypeEnum	Tobacco product
EcosystemSubtypeEnum	Wetsalted hide
EcosystemSubtypeEnum	Seat surface
EcosystemSubtypeEnum	Algae
EcosystemSubtypeEnum	Archaea
EcosystemSubtypeEnum	Bacteria
EcosystemSubtypeEnum	Contaminated
EcosystemSubtypeEnum	Fungi
EcosystemSubtypeEnum	Aerobic media
EcosystemSubtypeEnum	Anaerobic media
EcosystemSubtypeEnum	Marine media
EcosystemSubtypeEnum	Plant nodule
EcosystemSubtypeEnum	Sanger
EcosystemSubtypeEnum	Composting
EcosystemSubtypeEnum	Spent mushroom substrate
EcosystemSubtypeEnum	Fresh manure
EcosystemSubtypeEnum	Guano
EcosystemSubtypeEnum	Manure slurry
EcosystemSubtypeEnum	Poultry litter
EcosystemSubtypeEnum	Hay
EcosystemSubtypeEnum	Rice straw
EcosystemSubtypeEnum	Wood chips
EcosystemSubtypeEnum	Oil palm
EcosystemSubtypeEnum	Fermentation
EcosystemSubtypeEnum	A/O bioreactor
EcosystemSubtypeEnum	Settling tank
EcosystemSubtypeEnum	Algae cultivation tank
EcosystemSubtypeEnum	Raw wastewater
EcosystemSubtypeEnum	Wastewater effluent
EcosystemSubtypeEnum	Acid mine drainage
EcosystemSubtypeEnum	Agricultural wastewater
EcosystemSubtypeEnum	Aquaculture farm
EcosystemSubtypeEnum	Dairy farm
EcosystemSubtypeEnum	Feedlot
EcosystemSubtypeEnum	Hospital wastewater
EcosystemSubtypeEnum	Landfill leachate
EcosystemSubtypeEnum	Meat/Poultry processing plant
EcosystemSubtypeEnum	Mine water
EcosystemSubtypeEnum	Organic dairy farm
EcosystemSubtypeEnum	Petroleum reservoir
EcosystemSubtypeEnum	Pulp and paper wastewater
EcosystemSubtypeEnum	Tailings pond
EcosystemSubtypeEnum	Biological phosphorus removal
EcosystemSubtypeEnum	Dissolved organics (aerobic)
EcosystemSubtypeEnum	Dissolved organics (anaerobic)
EcosystemSubtypeEnum	Nitrogen removal
EcosystemSubtypeEnum	Slums/Informal settlements
EcosystemSubtypeEnum	Air scrubber
EcosystemSubtypeEnum	Cattle barn
EcosystemSubtypeEnum	Composting facility
EcosystemSubtypeEnum	Poultry farm
EcosystemSubtypeEnum	Acidic hypersaline lake
EcosystemSubtypeEnum	Acidic lake
EcosystemSubtypeEnum	Shrimp pond
EcosystemSubtypeEnum	Acidic
EcosystemSubtypeEnum	Groundwater
EcosystemSubtypeEnum	Shale gas reservoir
EcosystemSubtypeEnum	Subglacial lake
EcosystemSubtypeEnum	Subterranean lake
EcosystemSubtypeEnum	Sediment
EcosystemSubtypeEnum	Agricultural field
EcosystemSubtypeEnum	Aquifer
EcosystemSubtypeEnum	Bog lake
EcosystemSubtypeEnum	Creek
EcosystemSubtypeEnum	Desert springs
EcosystemSubtypeEnum	Drainage ditch
EcosystemSubtypeEnum	Floodplain lake
EcosystemSubtypeEnum	Floodplain
EcosystemSubtypeEnum	Glacier
EcosystemSubtypeEnum	Harbor
EcosystemSubtypeEnum	Ice
EcosystemSubtypeEnum	Kettle hole
EcosystemSubtypeEnum	Lake
EcosystemSubtypeEnum	Lentic
EcosystemSubtypeEnum	Lotic
EcosystemSubtypeEnum	Microbialites
EcosystemSubtypeEnum	Pond
EcosystemSubtypeEnum	Puddle
EcosystemSubtypeEnum	Rainwater
EcosystemSubtypeEnum	Reservoir
EcosystemSubtypeEnum	River
EcosystemSubtypeEnum	Simulated rainfall
EcosystemSubtypeEnum	Sinkhole
EcosystemSubtypeEnum	Sterile water
EcosystemSubtypeEnum	Storm water
EcosystemSubtypeEnum	Tap water
EcosystemSubtypeEnum	Water tank
EcosystemSubtypeEnum	Wetlands
EcosystemSubtypeEnum	Abyssopelagic
EcosystemSubtypeEnum	Archipelago
EcosystemSubtypeEnum	Atoll lagoon
EcosystemSubtypeEnum	Bathypelagic
EcosystemSubtypeEnum	Benthic zone
EcosystemSubtypeEnum	Benthic
EcosystemSubtypeEnum	Coastal lagoon
EcosystemSubtypeEnum	Coastal
EcosystemSubtypeEnum	Cold seeps
EcosystemSubtypeEnum	Continental margin
EcosystemSubtypeEnum	Deep subsurface
EcosystemSubtypeEnum	Deepwater/Brine lake
EcosystemSubtypeEnum	Demersal zone
EcosystemSubtypeEnum	Epipelagic
EcosystemSubtypeEnum	Fjord
EcosystemSubtypeEnum	Fossil
EcosystemSubtypeEnum	Gulf
EcosystemSubtypeEnum	Hadalpelagic
EcosystemSubtypeEnum	Hydrothermal vents
EcosystemSubtypeEnum	Hypoxic zone
EcosystemSubtypeEnum	Inlet
EcosystemSubtypeEnum	Intertidal zone
EcosystemSubtypeEnum	Littoral zone
EcosystemSubtypeEnum	Marginal Sea
EcosystemSubtypeEnum	Marine basin floor
EcosystemSubtypeEnum	Marine lake
EcosystemSubtypeEnum	Mesopelagic
EcosystemSubtypeEnum	Mud volcano
EcosystemSubtypeEnum	Neritic zone/Coastal water
EcosystemSubtypeEnum	Ocean trench
EcosystemSubtypeEnum	Oceanic
EcosystemSubtypeEnum	Oil seeps
EcosystemSubtypeEnum	Pelagic zone
EcosystemSubtypeEnum	River plume
EcosystemSubtypeEnum	Sea ice
EcosystemSubtypeEnum	Seaweed
EcosystemSubtypeEnum	Shipwreck
EcosystemSubtypeEnum	Strait
EcosystemSubtypeEnum	Subtidal zone
EcosystemSubtypeEnum	Supratidal zone
EcosystemSubtypeEnum	Volcanic
EcosystemSubtypeEnum	Alkaline
EcosystemSubtypeEnum	Fracking water
EcosystemSubtypeEnum	Hypersaline lake
EcosystemSubtypeEnum	Hypersaline soda lake
EcosystemSubtypeEnum	Hypersaline
EcosystemSubtypeEnum	Near-boiling (>90C)
EcosystemSubtypeEnum	Saline lake
EcosystemSubtypeEnum	Saline
EcosystemSubtypeEnum	Salt crystallizer ponds
EcosystemSubtypeEnum	Salt marsh
EcosystemSubtypeEnum	Soda lake
EcosystemSubtypeEnum	Solar solterns
EcosystemSubtypeEnum	Sub-saline lake
EcosystemSubtypeEnum	Mine pit lake
EcosystemSubtypeEnum	Oil sands pit lake
EcosystemSubtypeEnum	Acid lake
EcosystemSubtypeEnum	Geothermal pool/Hot lake
EcosystemSubtypeEnum	Hot (42-90C)
EcosystemSubtypeEnum	Microbial mats
EcosystemSubtypeEnum	Runoff channel
EcosystemSubtypeEnum	Tepid (25-34C)
EcosystemSubtypeEnum	Warm (34-42C)
EcosystemSubtypeEnum	Tar
EcosystemSubtypeEnum	Wall
EcosystemSubtypeEnum	Cave
EcosystemSubtypeEnum	Clay
EcosystemSubtypeEnum	Coalbed methane well
EcosystemSubtypeEnum	Mine
EcosystemSubtypeEnum	Oil well
EcosystemSubtypeEnum	Rock core/Sediment
EcosystemSubtypeEnum	Rock
EcosystemSubtypeEnum	Salt mine
EcosystemSubtypeEnum	Sub-seafloor
EcosystemSubtypeEnum	Water well
EcosystemSubtypeEnum	Salt pan/flat
EcosystemSubtypeEnum	Aquatic biofilm
EcosystemSubtypeEnum	Mine pit pond
EcosystemSubtypeEnum	Alligator nest
EcosystemSubtypeEnum	Chelicerates nest
EcosystemSubtypeEnum	Insects nest
EcosystemSubtypeEnum	Rodent burrow
EcosystemSubtypeEnum	Oil
EcosystemSubtypeEnum	Decayed wood
EcosystemSubtypeEnum	Litterfall
EcosystemSubtypeEnum	Halite
EcosystemSubtypeEnum	Saprolite
EcosystemSubtypeEnum	Dried seaweeds
EcosystemSubtypeEnum	Agricultural land
EcosystemSubtypeEnum	Alpine
EcosystemSubtypeEnum	Arable
EcosystemSubtypeEnum	Biochar
EcosystemSubtypeEnum	Biocrust
EcosystemSubtypeEnum	Boreal forest/Taiga
EcosystemSubtypeEnum	Botanical garden
EcosystemSubtypeEnum	Chaparral
EcosystemSubtypeEnum	City park
EcosystemSubtypeEnum	Coastal area
EcosystemSubtypeEnum	Desert
EcosystemSubtypeEnum	Drainage basin
EcosystemSubtypeEnum	Forest
EcosystemSubtypeEnum	Garden
EcosystemSubtypeEnum	Geothermal field
EcosystemSubtypeEnum	Glacial till
EcosystemSubtypeEnum	Grasslands
EcosystemSubtypeEnum	Gravesite
EcosystemSubtypeEnum	Greenhouse
EcosystemSubtypeEnum	Lakeshore
